sku|name|description|price|body_zone|skin_type|fullness|sexe|ethnicity|photo
1|Huile d'Argan 200ml|Cette huile de beauté sèche et fine aux propriétés hydratantes et protectrices sublimera votre corps, dont votre visage. Extrêmement nourrissante et tonifiante, elle convient à toutes les peaux.|28|Visage|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
2|Sérum peau sèche|Assemblage d'huiles végétales naturelles aux propriétés hydratantes incroyables, ce sérum aidera les peaux sèches en l'hydratant en profondeur et son parfum neutre permettra une application autant pour les hommes que pour les femmes.|19|Visage|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
3|Lait Bain Argan 100ml|Association d'huiles végétales nobles qui confère à ce lait une capacité hydratante et régénérante de l'épiderme. Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non-gras. Idéal pour tonifier vos mains et votre corps.|14|Visage|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
4|Huile d'Argan 50ml|Cette huile de beauté sèche et fine aux propriétés hydratantes et protectrices sublimera votre corps. Extrêmement nourrissante et tonifiante, elle convient à toutes les peaux, sèches à matures.|9|Visage|Peau normale|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
5|Huile de Jojoba 100ml|Huile sébo-régulatrice par excellence, l’huile de Jojoba, grâce à sa texture sèche, est également celle qui se rapproche le plus du sébum humain. De ce fait, elle renforce efficacement le film hydrolipidique de la peau et régule la production de sébum qui est fréquente sur les peaux grasses.|16|Visage|Peau grasse|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
6|Beurre de Karité pot de 100ml|Ce beurre de karité naturel, ni raffiné, ni blanchi, nourrira et hydratera les peaux sèches, normales et matures. Un trésor naturel. Notre beurre de Karité s'utilise sur toutes les parties du corps, dont les mains et le visage.|11|Corps|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
7|Baume Karité ambré 125ml|Ce beurre de Karité naturel, ni raffiné, ni blanchi, nourrira et hydratera les peaux sèches, normales et matures. Un trésor naturel. Notre beurre de karité s'utilise sur toutes les parties du corps, dont les mains et le visage. Un parfum ambre délicat est parfaitement adapté pour une utilisation masculine.|19|Corps|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/pot_creme.png
8|Lait Argan 200ml|Association d'huiles végétales nobles qui confére à ce lait une capacité hydratante et régénérante de l'épiderme. Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non-gras. Idéal pour tonifier vos mains et votre corps.|22.90|Visage|Peau séche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
9|Huile de Nigelle 100ml|L'huile de Nigelle est adaptée pour une routine purifiante grâce à ses propriétés immunostimulantes, anti-inflammatoires, anti-infectieuses, anti-oxydantes et cicatrisantes. Elle est une alliée pour votre corps et particulièrement vos mains pour vous aider à lutter contre les méfaits du froid. Elle s'utilise également tout le long de l'année.|12.90|Mains|Sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431793/huile.png
10|Lait de soin 200ml|Association d'huiles végétales nobles qui confére à ce lait une capacité hydratante et régénérante de l'épiderme. Sa structure fluide et fine pénètre très rapidement l'épiderme et laisse un film protecteur non-gras. Idéal pour tonifier vos mains et votre corps.|22.90|Mains|Peau sèche|Jeune|masculine|hispanic, latino, or spanish origin|https://res.cloudinary.com/stan0612/image/upload/v1544431794/petite_creme.png
